,ARMA-ARCH-before,ARMA-ARCH-update,ARIMA-before,ARIMA-update,GAM-before,GAM-update,LM-before,LM-update,LSTM-before,LSTM-update,benchmark
86,152.734237442566,250.996425161733,87.5333797256126,196.221301139529,62.4204793355883,172.322214033523,153.622721169097,253.730654745343,110.632384742168,212.637883567717,210.862568558956
87,158.867156503087,257.178988343459,97.0993857844072,206.00446128113,71.5202381696702,181.570338322407,162.071656425305,262.455111502099,130.025413921024,232.245646914771,209.790017394712
88,163.098400014464,263.267481694917,106.027799832378,215.860959431134,84.4792834410863,195.097518013371,166.584597365606,268.429468026022,146.3518410777,248.650344950062,223.856582174543
89,170.011050962363,271.022389138299,106.036344968027,218.527750270559,92.6133599146075,203.287096857283,166.398805671846,270.466864831702,158.269885158475,260.615247415992,237.082159309115
90,169.598353992534,271.019174465305,107.15190685045,220.068622266671,92.5507860069671,203.298595259016,165.355889136536,269.512886669879,157.484230730277,260.418919591464,242.546066138415
91,167.936508591575,268.617434279009,103.748925275965,216.590751435892,92.4314422698617,201.32288020915,161.03706592154,264.859102829492,153.685818964268,255.950958994426,244.325076715279
92,163.003063491521,263.610527139291,104.568776098777,217.038153106128,92.0491686508103,200.74834119704,158.211013955312,261.59254195319,153.566964121332,255.221836532916,239.762038372053
93,164.924024958739,265.522816753317,104.426222031764,216.847434309309,93.932851680187,202.619567851632,157.753403011485,261.063612441153,154.018548588066,255.625749910782,238.349563110779
94,164.633382012844,263.528367402791,104.419334810136,214.787121642527,91.756212110659,200.226439515694,154.02058828113,256.998862919488,153.872112476053,253.560883414875,238.145607564787
95,157.949843911566,256.537827134487,98.0395293279338,208.3704555164,86.2494166617195,193.893572663715,151.848556121707,251.730103356758,153.868861779106,249.044745044909,233.424983501979
96,160.909969778417,260.365577408993,98.0530281989719,211.178188294364,87.2252851962757,196.033449401342,153.018630968096,253.368027074077,159.532050377605,254.838800954903,226.789533226067
97,158.517660184116,257.950647700606,95.6158258832926,208.617116166625,85.7883514828446,194.08556060702,153.4485343843,253.607054142631,164.282945025942,259.297939081872,234.640242492504
98,155.366121369324,254.799108885813,91.2407275338697,204.242017817202,82.8011188410672,191.098327965243,153.439854078933,253.598373837264,158.594998508674,253.609992564605,235.304606706633
99,151.451550843318,251.092166704426,89.1173935125229,203.093523060668,80.2029976198049,189.003864190402,150.52012545285,252.050801884461,155.362961515455,251.542906591111,231.215843789961
100,148.507336984397,249.82603132748,86.0500186860241,201.844938472503,76.8713450501322,187.428098521148,146.483128233489,250.144453828539,151.485882255347,249.787928118089,227.542886494768
101,146.177065838507,248.768449151085,82.5124433368209,200.143160538429,75.7161902497791,186.94540200233,146.501249170001,250.236640381261,147.334552584187,247.713119558194,223.385611663051
102,145.286861560594,247.878244873172,82.5456142302335,200.176331431842,74.9944339789479,186.223645731499,142.405227769328,246.140618980588,147.199135668216,247.577702642223,221.559237783623
103,135.61434948147,238.177455057972,75.4062325488381,191.942325518814,71.8309830805386,181.183832067813,139.047200532103,241.594868066407,143.441243364603,242.539573472574,215.631421731729
104,146.033647605568,249.31146884651,86.8910341453377,205.195903188382,77.9349834620854,187.563730477974,143.906132264693,247.038657116707,157.209946847432,258.456581521913,210.445288768154
105,145.181066216377,248.967430763266,93.0009209041045,211.675349463153,78.8971727581069,189.40953066176,150.364017426897,253.680072948345,157.765668122852,259.751193642659,215.590078402485
106,142.721379834171,246.50774438106,87.9788029817293,206.653231540778,73.592712550839,184.105070454492,151.780846261249,255.096901782697,157.71780829543,259.703333815237,213.420480714921
107,143.016847086075,246.933327542651,87.3761586120122,206.38070081576,73.6059619942217,184.140199782517,149.997171907308,254.332188626968,157.913268960602,260.058000264803,214.120051869235
108,136.396618197201,242.723484642846,79.7361519411256,200.79565305122,66.8828755929265,179.849209323379,140.83819826286,249.281799989451,153.898548671518,258.050693906278,214.468517477357
109,119.548224155538,234.237703174817,45.5032363989332,183.644621123265,63.3879160225482,178.071280691206,137.760592050176,247.626541843332,126.168466114407,244.184991120747,203.784013507376
110,102.536350533044,223.852372870631,15.1216678469277,167.839055280654,62.2975170297862,177.503087866452,121.623793621401,239.45814106533,106.116764137929,232.445436576602,171.944618442658
111,99.6641623595077,222.302596539021,12.6933733372645,166.42934201613,45.7065702276855,167.452528294501,120.282404444478,238.162976462501,95.8829943161177,224.146053249336,149.095839102793
112,92.9255975563769,218.576227859707,7.85017977787691,163.71088050139,31.8832408304315,160.411893985057,113.352466368059,234.38365648568,93.6017725169643,221.970610461566,126.280769354018
113,90.6142331610208,217.306609456902,3.40297698484241,161.437784791052,25.8936704180377,157.327569937206,109.792431237289,232.427720632159,90.6001127547822,220.179047798173,116.121691271217
